0	9	
1	2	
6	3	
9	18	
13	17	
14	11	
16	227	
19	80	
23	38	
24	522	
25	29	
28	32	
30	47	
31	30	
34	6	
35	56	
36	20	
37	35	
43	45	
44	15	
49	50	
50	61	
51	54	
52	19	
53	126	
55	51	
58	102	
66	169	
70	107	
75	111	
78	28	
89	8	
90	36	
91	89	
94	82	
97	161	
101	60	
106	90	
110	99	
114	64	
118	24	
119	141	
120	94	
128	113	
135	71	
136	75	
138	173	
140	133	
146	115	
150	156	
153	28	
157	129	
160	58	
161	79	
162	137	
163	125	
164	112	
170	145	
173	130	
179	96	
184	97	
185	178	
187	172	
190	180	
197	45	
200	269	
208	142	
213	265	
215	7	
221	182	
222	176	
225	162	
227	163	
228	109	
229	186	
230	121	
232	241	
233	252	
241	203	
243	159	
246	147	
247	139	
249	236	
255	198	
265	166	
268	232	
270	240	
278	205	
289	296	
290	322	
291	286	
294	321	
298	270	
299	189	
300	184	
309	323	
311	238	
314	215	
317	422	
319	240	
328	251	
329	302	
340	208	
342	341	
344	293	
351	352	
356	291	
357	403	
358	249	
366	278	
376	303	
382	264	
389	283	
396	206	
398	281	
399	373	
404	347	
407	339	
411	154	
417	356	
419	332	
422	207	
424	369	
432	289	
435	358	
440	301	
449	347	
458	274	
470	379	
471	362	
474	298	
486	345	
487	330	
492	389	
508	298	
510	205	
522	217	
523	180	
524	377	
526	433	
538	482	
548	382	
561	50	
565	446	
566	329	
578	347	
580	6	
596	304	
598	416	
601	463	
605	465	
608	431	
609	448	
611	465	
612	506	
613	487	
629	481	
636	460	
642	187	
645	468	
650	479	
655	469	
656	495	
677	500	
713	158	
718	133	
745	522	
749	518	
766	522	
789	187	
793	1160	
796	556	
841	548	
870	993	
871	993	
956	685	
1044	631	
1180	891	
1319	730	
1393	862	
1394	792	
1433	878	
1448	791	
1518	992	
1610	954	
1650	1059	
1708	1004	
1750	1008	
1758	1047	
2002	1075	
2012	1104	
2072	1132	
2196	1251	
2354	1262	
2420	1256	
